"Name","Aka","Email","Phone","Address","Contact","Notes","Client Id"
"Dental Arts by Stania","","","","1888 Sherman St #330, Denver, CO, 80203","","","1133"
"Dental Arts by Stania","","","","1888 Sherman St #330, Denver, CO, 80203","","","1134"
"Dental Arts by Guido","","","","1888 Sherman St #330, Denver, CO, 80203","","","1135"
"Dental Arts by Guido","","","","1888 Sherman St #330, Denver, CO, 80203","","","1136"
"Default Customer","","","",", ,   ,      ","","","1137"
"Default Customer","","","",", ,   ,      ","","","1138"
"Dahlin","","","","17301 W. Colfax Ave, Golden, CO, 80401","","","1139"
"Dahlin","","","","17301 W. Colfax Ave, Golden, CO, 80401","","","1140"
"CXT Software (support Account)","","","","141 E. Palm Lane, Phoenix, AZ, 85012","","","1141"
"CXT Software (support Account)","","","","141 E. Palm Lane, Phoenix, AZ, 85012","","","1142"
"Crystal Courier","","","","877 Wyandot St, Denver, CO, 80204","","","1143"
"Crystal Courier","","","","877 Wyandot St, Denver, CO, 80204","","","1144"
"Crabtree Dental Lab","","","","1055 17th Ave, Longmont, CO, 80501","","","1145"
"Crabtree Dental Lab","","","","1055 17th Ave, Longmont, CO, 80501","","","1146"
"Certified Dental Lab","","","","3617 Betty Drive #H, Colorado Springs, CO, 80917","","","1147"
"Certified Dental Lab","","","","3617 Betty Drive #H, Colorado Springs, CO, 80917","","","1148"
"Centric Relations Dental Lab","","","","2001 S. Shields St #b3, Fort Collins, CO, 80526","","","1149"
"Centric Relations Dental Lab","","","","2001 S. Shields St #b3, Fort Collins, CO, 80526","","","1150"
"Centric Dental Restorations","","","","6531 West 56th Avenue #16, Arvada, CO, 80002","","","1151"
"Centric Dental Restorations","","","","6531 West 56th Avenue #16, Arvada, CO, 80002","","","1152"
"Cedar Dental Lab","","","","9920 N.Wadsworth Pkwy, Westminster, CO, 80021","","","1153"
"Cedar Dental Lab","","","","9920 N.Wadsworth Pkwy, Westminster, CO, 80021","","","1154"
"Castle Rock Eye","","","","856 Happy Canyon Rd, Castle Rock, CO, 80108","","","1155"
"Castle Rock Eye","","","","856 Happy Canyon Rd, Castle Rock, CO, 80108","","","1156"
"Carlos J. Figueiras","","","","Banes, Holguin, Cuba","","","1157"
"Birner","","","","1777 South Harrison Street, Denver, CO, 80210","","","1158"
"Birner","","","","1777 South Harrison Street, Denver, CO, 80210","","","1159"
"Bend Orthodontic Lab","","","","218 E. Valley Rd #104, Carbondale, CO, 81623","","","1160"
"Bend Orthodontic Lab","","","","218 E. Valley Rd #104, Carbondale, CO, 81623","","","1161"
"Auraria Dental Lab","","","","1214 Santa Fe Dr, Denver, CO, 80204","","","1162"
"Auraria Dental Lab","","","","1214 Santa Fe Dr, Denver, CO, 80204","","","1163"
"Auraria Dental Ceramics","","","","1201 Santa Fe Dr #F, Denver, CO, 80204","","","1164"
"Auraria Dental Ceramics","","","","1201 Santa Fe Dr #F, Denver, CO, 80204","","","1165"
"Aspen Dental Arts","","","","338 Fifth St, Frederick, CO, 80530","","","1166"
"Aspen Dental Arts","","","","338 Fifth St, Frederick, CO, 80530","","","1167"
"Artistic Expressions Dental Lab","","","","10841 South Crossroads Drive #200, Parker, CO, 80134","","","1168"
"Artistic Expressions Dental Lab","","","","10841 South Crossroads Drive #200, Parker, CO, 80134","","","1169"
"Archibald Dental","","","","3333 S. Wadsworth Blvd. #330, Lakewood, CO, 80227","","","1170"
"Archibald Dental","","","","3333 S. Wadsworth Blvd. #330, Lakewood, CO, 80227","","","1171"
"Aesthetic Innovations Dental Lab","","","","1155 Kelly Johnson Blvd, Colorado Springs, CO, 80920","","","1172"
"Aesthetic Innovations Dental Lab","","","","1155 Kelly Johnson Blvd, Colorado Springs, CO, 80920","","","1173"
"Ace's Quality Dental","","","","8380 Zuni Street, Thornton, CO, 80260","","","1174"
"Ace's Quality Dental","","","","8380 Zuni Street, Thornton, CO, 80260","","","1175"
"ABB-ConCise Optical Group","","","","1750 N Loop Rd, Alameda, CA, 94502","","","1176"
"ABB-ConCise Optical Group","","","","1750 N Loop Rd, Alameda, CA, 94502","","","1177"
"5280 Laboratory","","","","12274 W. Saratoga Ave, Morrison, CO, 80465","","","1178"
"5280 Laboratory","","","","12274 W. Saratoga Ave, Morrison, CO, 80465","","","1179"
"5280 Creations","","","","12454 York St, Thornton, CO, 80241","","","1180"
"5280 Creations","","","","12454 York St, Thornton, CO, 80241","","","1181"
